pmt,amax,taumax,amin,taumin,eamax,etaumax,eamin,etaumin,npoints,nfitpoints,chi2,ndof,voltage
199,0.3751188615060718,89098480.0870519,0.3529475127789931,468.21999050745416,0.051767087272255166,4.0020733974132485e-09,0.049015782331174644,96.70428196093206,41,41,0.328951734066509,37,1649.0
200,0.348850260426071,21420732.805212628,0.3936360671743081,597.6024458697431,0.07922194451712346,1.4426238412192514e-07,0.07660574329665064,158.04662377209283,41,41,0.369842295450467,37,1683.0
201,0.3948539475587734,8781886.021983143,0.2923601602400952,348.90489565092895,0.02656224910398309,1.6581836813753056e-07,0.024078150343546042,49.636317593558644,41,41,0.3373124603952837,37,1870.0
202,0.35556480714661254,107756543.07360733,0.2492966468843817,220.75259725449922,0.007743716135661313,1.6600022257238578e-10,0.006166784331041788,13.661437012460608,41,41,0.21724432787432485,37,1885.0
203,0.42865832084427874,86252259.51005,0.2697621211000573,325.54101180632694,0.01475461096549764,1.0685589398416988e-09,0.0131766848093079,28.7732433055618,41,41,0.1647621966496452,37,1756.0
204,0.40865600539886954,30620989.22356462,0.22525788210906406,233.44095786283498,0.009081539251547359,3.6014020544246927e-09,0.007389775175679774,17.8204089811928,41,41,0.23282297534233692,37,1565.0
205,0.41736958710755734,140638435.2450572,0.2952419801795051,484.2121611281053,0.05763403391252036,2.9160299192909354e-09,0.05477333729482329,131.77302231891184,41,41,0.3812114042354014,37,1605.0
206,0.47319893115414097,13046.949135363702,0.23255020426272746,328.29657365995797,0.6192988881486319,266541.568051446,0.6165013148314096,547.3470841699822,41,41,0.21907942839454586,37,1744.0
207,0.4844994675436016,262198591.74407738,0.21545749774939169,285.9161697437814,0.017703513308536048,1.8432335423530936e-10,0.015200069653086783,40.677449649033576,41,41,0.30032383009047464,37,1545.0
208,0.4554741166372418,511680699.1909744,0.24181501109395515,299.31953401940905,0.013989195671630749,3.623001030957579e-11,0.012235734644674517,29.106095028155732,41,41,0.17320149619182082,37,1493.0
209,0.3774659921283223,261587819.74329078,0.2674115730822691,316.18502880080695,0.026617355550033743,1.6308649576799574e-10,0.0237233939173969,51.09899590832901,41,41,0.545162820290049,37,1819.0
210,0.502566099653361,5899.6064379109375,0.15162179650018026,118.47148869627628,0.048153969319757406,8260.928010832407,0.044815157525540814,36.87727330152974,41,41,0.2178253016070474,37,1708.0
211,0.40722904847027447,386831867.82999104,0.29121210673556674,330.0895155604856,0.02349401739628698,6.560569860936405e-11,0.02109491465535339,42.55805394078603,41,41,0.34806072079055644,37,1807.0
213,0.6252517416922098,1500.9057858548263,0.04954895604324265,124.93755595132865,0.10848984988251396,913.2143986006489,0.10358023554404208,226.89875144695372,41,41,0.7152217528679372,37,1792.0
214,0.3257198162142743,16524599.094148876,0.41785483310393035,633.9964466937392,0.10782959439296916,3.157898558119237e-07,0.10466133515285032,211.77027569944633,41,41,0.3929732363669923,37,1568.0
215,0.5453719715792461,17068.47198827416,0.18920477291164847,229.12268701431896,0.14679715427916015,124731.96795995024,0.14480235101938965,127.13328245116222,41,41,0.15602854049891235,37,1656.0
216,0.39567911599450617,324813994.7292032,0.3005920583761875,326.76677761618873,0.022355563666428317,8.194878239932345e-11,0.01997858039130225,39.20969373619844,41,41,0.3059033397970509,37,1692.0
217,0.39614558352508994,110921137.5811158,0.3205730257836612,458.97439435590377,0.05658546609545801,3.588315374453391e-09,0.053460704093356834,114.91257505108968,41,41,0.4044559461720655,37,1636.0
218,0.4343391485398656,6370.689920481836,0.20718938683055665,310.2036112286349,0.5466236377880357,62747.491509793486,0.5439797375441887,503.56465016300433,41,41,0.21599379147419306,37,1842.0
219,0.43258228316071107,396927158.54621506,0.2841646512802322,326.88220931274174,0.02101285669314347,6.375812781814483e-11,0.01873250656516933,39.15859977438563,41,41,0.3283196585458211,37,1799.0
220,0.4358803876165747,313306602.299695,0.25422505113314103,197.11098977171207,0.015390818948903156,3.732966260562443e-11,0.011584999058491741,25.330276603361895,41,41,0.8861002645046016,37,1804.0
221,0.5154800060314301,1518.3787572631359,0.06483713669280831,116.33288684770545,0.04158963323375905,457.413213349976,0.03931076676808536,65.14307748836528,41,41,0.1618918509725046,37,1791.0
222,0.6011662168939013,3044.5969294855418,0.14280039337758269,218.0712185510522,0.2049117639146023,4993.313071170848,0.20228885849997366,209.02292750450476,41,41,0.16417167417743575,37,1764.0
223,0.40541745624851944,245529314.4903919,0.24330727015147774,231.48603973957088,0.009081344814475254,4.255158843266117e-11,0.007402330755678162,16.377017693494047,41,41,0.2317516220458264,37,1731.0
224,0.5611190746875766,834391179.9986893,0.19169523140299957,183.11173838881726,0.019033545627640733,1.4157353090785394e-11,0.013783004439874747,41.294507142725756,41,41,1.5505271682166475,37,1562.0
225,0.637985325267879,1732.627015618756,0.05591888925497726,113.01687439155252,0.04316756188886656,509.6474025628276,0.04043281892902355,80.02875298999066,41,41,0.17135499860975487,37,1576.0
226,0.3935918209116104,108060358.81489667,0.2684848803253366,240.74120379667156,0.013522204066163052,3.0315207400644185e-10,0.011156827714064609,22.481568066498422,41,41,0.376813203093176,37,1839.0
227,0.437779895628086,72772331.26072745,0.2837794101938542,361.57776446174836,0.022068045858217974,2.521699466598377e-09,0.020126505662414185,43.522575318615786,41,41,0.19116142726052765,37,1485.0
228,0.3624468347438807,11154.62890912349,0.04477781425909269,72.63934774828462,0.016288359664383724,18445.649153426795,0.01336753672336442,37.85216243750592,41,41,0.282537115588474,37,1641.0
229,0.43733370138291733,244471575.39078027,0.2584829522704081,320.23944999711426,0.015513970522316881,1.4615375056622324e-10,0.013751986510972241,31.477717180385422,41,41,0.14540557458068423,37,1660.0
230,0.5799971939338022,2797.9005403174265,0.13882763420677485,250.95753493981653,0.41449452596422415,7860.373797033215,0.41134408127745997,461.8102223289335,41,41,0.2489240188073972,37,1761.0
231,0.4393429050479106,40759474.33030606,0.31372853763730363,490.2166580735623,0.04662152915669329,2.830112240732598e-08,0.04430936420486572,101.47882698315787,41,41,0.28945599858343396,37,1533.0
232,0.5174677054634961,2973.1119580291806,0.13903383449004308,157.9876712424575,0.10898014327374507,3776.3781549959226,0.10575715500537748,96.55710767204701,41,41,0.21630943472916378,37,1743.0
233,0.37256158312977766,535228772.01641524,0.23111471473804823,230.8733542471519,0.009870612162066462,1.4918602399522933e-11,0.00799355846098793,18.787067837300416,41,41,0.2489047241457578,37,1810.0
234,0.5188854973204796,1467.6667197187462,0.09644343004199081,101.28675516072727,0.03346099378816548,373.75882235332506,0.030906456352800295,33.8938816825297,41,41,0.201235159255726,37,1759.0
235,0.6601786186904488,1806.1812094531258,0.03079160376549655,65.94628906489271,0.013687972906985752,228.91119478009662,0.010956694007425065,44.78350179038795,41,41,0.21463974448166753,37,1493.0
236,0.531975976005888,1349.099792773915,0.0778704216718877,63.15355664132919,0.034623690451834103,412.5652395163625,0.027545556604308567,42.29365763957898,41,41,1.4376960952710027,37,1873.0
237,0.4488621521854691,164854751.0103036,0.2319318854018664,290.47046001897945,0.01501502909110836,3.1710681858465696e-10,0.012998971997148081,32.16359725197276,41,41,0.22948198388787205,37,1521.0
238,0.4870647166041469,135712870.83561444,0.2706556235610169,499.3732020539628,0.06305035577883274,5.363027217869284e-09,0.05999483349592358,161.4054712411607,41,41,0.4204898271041471,37,1661.0
239,0.5159099014995342,2458.2168107822545,0.14900170928379794,166.40664913494197,0.09895130725384883,2250.3625508373993,0.09659820583294633,81.78880275831948,41,41,0.22456732832879656,37,1863.0
240,0.35055585550585805,2270060546.9912415,0.11286375938551248,67.36837608041083,0.0015207207707370752,1.8607559009887623e-13,0.004039665195292675,4.495704273644975,41,41,0.26259377366231246,37,2000.0
