pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
135,2516,0.352394,0.035647,0.451829,0.013720,0.180009,0.011048,239.530777,23.002008,51.410236,36,0
136,2299,0.417389,0.041132,0.477278,0.016339,0.201801,0.012012,198.892548,17.172636,38.392113,35,0
137,2359,0.405763,0.047336,0.456288,0.021542,0.209458,0.014337,183.597076,18.596582,56.968483,35,0
138,1923,0.314130,0.039208,0.506094,0.015543,0.211746,0.013207,213.968002,24.749741,43.079021,34,0
139,412,0.100000,0.039208,0.800000,0.015543,0.300000,0.013207,81.199997,24.749741,43.079021,34,-1
140,2600,0.467970,0.046221,0.440849,0.018083,0.195220,0.013176,191.427536,16.003733,39.670589,35,0
141,2509,0.363232,0.053897,0.465701,0.025420,0.263709,0.023606,266.786896,38.196529,42.325962,35,0
142,2379,0.472959,0.045910,0.460500,0.015813,0.186984,0.012281,166.601303,14.083323,59.588921,36,0
143,2691,0.432211,0.034327,0.451901,0.011594,0.170659,0.008823,229.732208,16.533295,53.810860,35,0
144,2729,0.296089,0.032418,0.481817,0.014466,0.190982,0.010299,249.251251,25.577038,68.136894,36,0
145,2303,0.347873,0.041528,0.475786,0.015737,0.204878,0.013991,210.439941,23.145048,54.467861,36,0
146,2653,0.392410,0.051424,0.430001,0.027110,0.238090,0.020743,274.284302,33.381409,41.856113,36,0
147,2390,0.429898,0.047647,0.457302,0.018918,0.204028,0.014347,180.639297,17.674427,38.277042,35,0
148,2592,0.412366,0.051453,0.462857,0.021995,0.212334,0.016490,169.125916,18.663023,49.463779,36,0
149,2382,0.463004,0.047327,0.469493,0.015680,0.188049,0.013409,168.058823,14.801006,50.265820,36,0
150,2394,0.417566,0.087741,0.345598,0.061512,0.284286,0.043262,252.103577,54.510632,80.920341,36,0
151,2210,0.367697,0.040113,0.439939,0.017506,0.189404,0.011864,221.278992,21.683634,62.549469,36,0
152,1903,0.278029,0.054544,0.441856,0.033469,0.264265,0.025176,241.745087,45.843388,56.078949,35,0
153,2803,0.434722,0.069433,0.425652,0.034723,0.250928,0.024754,205.308868,29.225040,33.419987,35,0
154,1914,0.337979,0.040865,0.486338,0.018017,0.204151,0.013865,190.615768,21.234570,62.052326,36,0
155,2952,0.395728,0.043233,0.450202,0.016185,0.191383,0.012762,188.484619,18.821772,39.747833,35,0
156,2073,0.454466,0.065917,0.430755,0.033471,0.250570,0.024180,192.254044,24.140553,42.214191,36,0
157,2175,0.391744,0.041193,0.466027,0.017459,0.194238,0.012783,174.150177,16.504835,55.312119,36,0
158,1935,0.330176,0.041471,0.440982,0.018738,0.188413,0.013800,207.699585,24.257599,48.785557,34,0
159,2180,0.397102,0.038816,0.474484,0.014027,0.180632,0.010118,173.414719,15.324097,59.680473,36,0
160,1795,0.408094,0.049444,0.468331,0.018873,0.208728,0.014575,159.852737,17.285213,32.378429,36,0
161,248,0.100000,0.049444,0.800000,0.018873,0.300000,0.014575,48.200001,17.285213,32.378429,36,-1
162,1778,0.508044,0.086603,0.393650,0.044525,0.238310,0.031140,145.877518,21.092115,43.780682,35,0
163,7729,0.372201,0.050421,0.472329,0.022420,0.231898,0.018185,200.633514,24.625111,37.283157,36,0
164,1793,0.252136,0.040689,0.464046,0.020841,0.217398,0.016391,234.913025,36.223915,37.452347,34,0
165,1937,0.354015,0.038315,0.475035,0.016428,0.192792,0.011978,200.344147,19.757711,40.880268,36,0
166,1817,0.256704,0.049454,0.447256,0.030772,0.258541,0.021105,245.001053,44.848282,81.750740,35,0
167,1892,0.457933,0.070769,0.411012,0.037752,0.225553,0.025491,154.341843,20.332088,41.362289,36,0
