channel_id,baseline,rms
174,14895.6,0.420276
175,14767.6,0.595765
176,15096.8,0.511339
177,14930.1,13.3395
178,14924.4,0.265493
179,14783.8,0.337876
180,15047.3,0.564179
181,14937.3,0.461506
182,15090.6,0.407773
183,15148.2,0.405328
184,14926.7,0.291575
185,15097.3,0.363686
186,15043.2,0.538664
187,15003.1,0.357556
188,15166.4,0.491548
189,14980.9,0.318537
190,15082.3,0.5469
191,15010.6,0.344899
192,15042.3,0.449168
193,15136.2,0.512489
194,15006.4,0.336217
195,14819.9,0.19045
196,15066,0.354923
197,14813.3,0.410044
198,14942.5,0.298759
199,14901.8,0.371251
200,14943.7,0.202099
201,14914.2,0.274771
202,15002.2,0.305648
203,14984.7,0.373795
204,15031.7,0.319513
205,15070,0.356076
206,15075.6,0.36328
207,14910,0.299401
208,15144.8,77205.8
209,15005,0.268272
210,14935,0.439867
211,14993.8,0.284843
212,14908.2,0.322633
213,14866.1,0.454664
214,15185.3,0.341949
215,14920,0.290415
216,14866,0.456427
217,15037.8,0.346179
218,14917.3,0.521579
219,15068.4,0.304122
220,14988.2,0.291224
221,14842.4,0.503411
222,15027.5,0.320513
223,15031.8,0.536675
224,14975.3,0.335445
225,15003.7,0.241245
226,14895.2,0.507891
227,15065.4,0.344179
228,15029.8,0.387911
229,14923,0.273532
230,14987.8,0.432179
231,14925.2,0.588491
232,15023.3,0.406059
233,15143.9,0.544544
234,14937.6,0.731891
235,14974.2,0.294124
236,15003.2,0.471179
237,14948.3,0.571059
238,14978.6,16.6352
239,14768.6,0.383475
240,14943.6,141.947
241,14856.6,28.0071
242,14918.6,78.2426
243,14933,712.652
244,15071.7,14.0661
245,14950,22.9019
246,14946.2,4335.13
247,15045.7,29.558
248,14896.6,0.710968
249,14925.3,79.7404
250,14891.7,11.8045
251,14879.6,0.253124
252,14921.7,22.397
253,14813.9,30.4589
254,15017.1,22.0395
255,15048.9,14.6451
256,14850.6,96.4321
257,14920.2,107.51
258,14886.7,48.5159
259,14908.9,292.593
260,15058.3,0.3389
261,14930.8,252.686
262,15037.9,39.9713
263,14911.3,45.0906
264,14937.7,132.149
265,14990.1,0.474019
266,14932.8,26.2188
267,15026.2,29.1254
268,14950.7,0.391496
269,14954.4,0.322499
270,14924.4,0.34235
271,14847.4,0.367214
272,14922.1,0.278992
273,14981.2,0.43819
274,15039.1,0.4853
275,14988,0.518619
276,14914.8,0.899099
277,14882.4,0.388156
278,14919.8,0.4335
279,14972.2,0.431291
280,15058.4,15.0566
281,14965.6,0.530484
282,14941.1,0.6243
283,14981.4,0.325295
284,14991.5,0.532191
285,14888.2,0.458684
286,15039.7,0.922913
287,14797,0.296647
288,14929.4,0.307906
289,14985,0.414379
290,14978.6,0.490251
291,14795,0.39838
292,14987.8,0.363075
293,14915.5,0.462739
294,15030.6,0.454362
295,15000.5,0.630116
296,15066.1,0.321784
297,14933.2,0.483259
298,14999.6,0.405736
299,15132.3,132.692
300,14882.7,0.520659
301,14893.6,0.322483
302,15237.5,0.402277
303,15121,0.531829
304,14898.2,0.893075
305,15048.4,0.435011
306,15156.1,1.50854
307,15218.8,0.4441
308,15118.4,0.405684
309,15043.4,0.411491
310,14951.4,35.0311
311,14894.7,99.8763
312,14779.1,0.333939
313,14898.2,20.8567
314,15148.6,15.3533
315,15123.7,0.902904
316,15121.5,0.669436
317,14985.2,1.90242
318,15247.7,10.7853
319,15059.6,0.344985
320,14937.4,0.369291
321,14957.4,0.356303
322,15093.4,0.435136
323,15008.3,0.469804
324,14973.6,0.433452
325,14842,0.546891
326,15007.5,0.442561
327,14990.7,0.329339
328,15014,0.577171
329,15051.9,0.298516
330,14881.9,0.366811
331,15013.8,0.361411
332,15107.2,27.0378
333,14981.9,0.283184
334,15045.8,0.3588
335,14970.5,0.332857
336,15101.1,0.383291
337,15218.2,0.338411
338,15060.5,17.5157
339,14987.7,0.406595
340,15031,20.7918
341,14803.3,0.948075
342,15021.9,46.3041
343,15079.5,23.2261
344,15036.2,0.3882
345,15031.1,0.4275
346,14953.2,48.8734
347,14984.2,142.437
348,14917.1,155.704
349,14968.3,23.5665
350,14971.6,0.343434
351,14869.7,13.6753
352,14974.2,22.0289
353,15009.6,29.9623
354,14843.4,0.350171
355,14973.8,0.374104
356,15101.6,0.6604
357,14839.3,1.1529
358,15008.8,0.416931
359,14782.1,0.384899
